%============================================================================= 
%NGDCS Check V10: Message 3501 Navigation Solution of ang20170616t200614_gps 
%* If present "Date" and "Abs Time" are derived and not original Msg3501 data 
%============================================================================= 
%Msg3501#, StartByte, Flag, Time, Date, Abs Time, Lat, Lon, Alt, VelN, VelE, VelUp, Pitch, Roll, HeadTrue, DataCheckSum 
70, 37451, 32768, 504419.900417, 2017-Jun-16, 20:06:59.900, 35.155851, -119.063862, 3204.312515, 36.898245, -79.014706, -1.091416, 0.551615, 0.552515, -67.742956, 18643 
71, 38155, 32768, 504420.000417, 2017-Jun-16, 20:07:00.000, 35.155884, -119.063948, 3204.215897, 36.881123, -79.013218, -1.080196, 0.557784, 0.589024, -67.728949, 40013 
72, 38652, 32768, 504420.100417, 2017-Jun-16, 20:07:00.100, 35.155917, -119.064035, 3204.108139, 36.865505, -79.006100, -1.071301, 0.563276, 0.623994, -67.710349, 23069 
73, 39149, 32768, 504420.200417, 2017-Jun-16, 20:07:00.200, 35.155950, -119.064122, 3204.001465, 36.847866, -79.004072, -1.061528, 0.571204, 0.654143, -67.689040, 15864 
74, 39893, 32768, 504420.300417, 2017-Jun-16, 20:07:00.300, 35.155983, -119.064209, 3203.895660, 36.833418, -79.001715, -1.053028, 0.578993, 0.682489, -67.661727, 20960 
75, 40390, 32768, 504420.400417, 2017-Jun-16, 20:07:00.400, 35.156017, -119.064295, 3203.791016, 36.819437, -78.997660, -1.042581, 0.587129, 0.708034, -67.630313, 63230 
76, 40886, 32768, 504420.500417, 2017-Jun-16, 20:07:00.500, 35.156050, -119.064382, 3203.687317, 36.809361, -78.993206, -1.033861, 0.593970, 0.735697, -67.597044, 3328 
77, 41383, 32768, 504420.600417, 2017-Jun-16, 20:07:00.600, 35.156083, -119.064468, 3203.584473, 36.800554, -78.986891, -1.024188, 0.604438, 0.763387, -67.563653, 19289 
78, 41879, 32768, 504420.700417, 2017-Jun-16, 20:07:00.700, 35.156116, -119.064555, 3203.482468, 36.789072, -78.981890, -1.017070, 0.617257, 0.794665, -67.529994, 41170 
79, 42378, 32768, 504420.800417, 2017-Jun-16, 20:07:00.800, 35.156149, -119.064642, 3203.381195, -823.685896, 262.278322, -257.899541, 162.473867, -148.884487, 0.712738, 17616 
80, 42875, 32768, 504420.900417, 2017-Jun-16, 20:07:00.900, 35.156182, -119.064728, 3203.280899, 36.773355, -78.968924, -0.998324, 0.655096, 0.855403, -67.464599, 18514 
81, 43582, 32768, 504421.000417, 2017-Jun-16, 20:07:01.000, 35.156215, -119.064815, 3203.229080, 36.767302, -78.960476, -0.988727, 0.676142, 0.882777, -67.433397, 56555 
82, 44079, 32768, 504421.100417, 2017-Jun-16, 20:07:01.100, 35.156249, -119.064901, 3203.131180, 36.771856, -78.938122, -0.973449, 0.703617, 0.911708, -67.401233, 58011 
83, 44575, 32768, 504421.200417, 2017-Jun-16, 20:07:01.200, 35.156282, -119.064988, 3203.034760, 36.764353, -78.928110, -0.956594, 0.727763, 0.935199, -67.373131, 64316 
84, 45317, 32768, 504421.300417, 2017-Jun-16, 20:07:01.300, 35.156315, -119.065074, 3202.940170, 36.762402, -78.919466, -0.937903, 0.752595, 0.953106, -67.340757, 65345 
85, 45813, 32768, 504421.400417, 2017-Jun-16, 20:07:01.400, 35.156348, -119.065161, 3202.847672, 36.756662, -78.909370, -0.913496, 0.776321, 0.968396, -67.306971, 21200 
86, 46309, 32768, 504421.500417, 2017-Jun-16, 20:07:01.500, 35.156381, -119.065247, 3202.757309, 36.751451, -78.900341, -0.894209, 0.799178, 0.984012, -67.268531, 5239 
87, 46806, 32768, 504421.600417, 2017-Jun-16, 20:07:01.600, 35.156414, -119.065334, 3202.669159, 36.747889, -78.890097, -0.868296, 0.820931, 0.994778, -67.226493, 62908 
88, 47302, 32768, 504421.700417, 2017-Jun-16, 20:07:01.700, 35.156447, -119.065420, 3202.583450, 36.741343, -78.880945, -0.846627, 0.842835, 1.001053, -67.176626, 30679 
89, 47798, 32768, 504421.800417, 2017-Jun-16, 20:07:01.800, 0.055227, 119.230244, -32127.962234, -835.582026, 289.514650, -210.170537, -140.045493, -102.241774, 97.645583, 53968 
90, 48295, 32768, 504421.900417, 2017-Jun-16, 20:07:01.900, 35.156514, -119.065593, 3202.419098, 36.729084, -78.859934, -0.802012, 0.875290, 1.007825, -67.051525, 54021 
91, 49000, 32768, 504422.000417, 2017-Jun-16, 20:07:02.000, 35.156547, -119.065680, 3202.458740, 36.722633, -78.848812, -0.779276, 0.890661, 1.011691, -66.972802, 31575 
92, 49496, 32768, 504422.100417, 2017-Jun-16, 20:07:02.100, 35.156579, -119.065768, 3202.383316, 36.703758, -78.839758, -0.742975, 0.910010, 1.013166, -66.881274, 42934 
93, 49992, 32768, 504422.200417, 2017-Jun-16, 20:07:02.200, 35.156612, -119.065854, 3202.310089, 36.700527, -78.827229, -0.721319, 0.930531, 1.021416, -66.778036, 7439 
94, 50734, 32768, 504422.300417, 2017-Jun-16, 20:07:02.300, 35.156645, -119.065941, 3202.239182, 36.701180, -78.812365, -0.697880, 0.952157, 1.038314, -66.664549, 44041 
95, 51230, 32768, 504422.400417, 2017-Jun-16, 20:07:02.400, 35.156678, -119.066027, 3202.170532, 36.702774, -78.797295, -0.674114, 0.973614, 1.058241, -66.543405, 17480 
